block,predictor,outcome,unit,n,df,effect,lo,hi,t,p,fdr_family,fdr
E1S->lipid,E1S,Total cholesterol,mg/dL per E1S IQR,524,15,9.41364484890195,4.56319196751489,14.264097730289,4.1366671372582,0.000878511691793953,continuous E1S-lipid,0.00263553507538186
E1S->lipid,E1S,Non-HDL-C,mg/dL per E1S IQR,524,15,9.00130816251787,3.45700569588139,14.5456106291543,3.46045950917998,0.00349599204002407,continuous E1S-lipid,0.00524398806003611
E1S->lipid,E1S,HDL-C,mg/dL per E1S IQR,524,15,0.412336686384092,-2.18293353974073,3.00760691250891,0.338644829337601,0.739571165490054,continuous E1S-lipid,0.739571165490054
E1S->clinical,E1S,High total cholesterol (>=200),prevalence ratio per E1S IQR,524,15,1.37573991762036,1.08606749478993,1.74267283572478,2.87577510840238,0.0115479630898719,clinical E1S-lipid,0.0115479630898719
E1S->clinical,E1S,High non-HDL-C (>=130),prevalence ratio per E1S IQR,524,15,1.23471092831607,1.0806255710957,1.41076716790752,3.37133572456305,0.00419753382514817,clinical E1S-lipid,0.00839506765029633
ratio->lipid,E1S_E1,Total cholesterol,mg/dL per ratio IQR,520,15,10.140710632333,3.82924491093284,16.4521763537331,3.42462654841836,0.00376275104116352,reservoir-ratio lipid,0.006896166940162
ratio->lipid,E1S_E1,Non-HDL-C,mg/dL per ratio IQR,520,15,10.9001610601372,3.47506647337982,18.3252556468946,3.12900301359042,0.006896166940162,reservoir-ratio lipid,0.006896166940162
PAH->lipid (boundary),1-OH-pyrene,Total cholesterol,mg/dL per PAH IQR,528,15,-0.708981889464177,-17.2187881226659,15.8008243437376,-0.0915310031361568,0.928281858457457,direct PAH-lipid,0.928281858457457
PAH->lipid (boundary),1-OH-pyrene,Non-HDL-C,mg/dL per PAH IQR,528,15,-2.94390701150027,-17.3472202580503,11.4594062350497,-0.435649017307561,0.669295372666686,direct PAH-lipid,0.892393830222248
PAH->lipid (boundary),2/3-OH-phenanthrene,Total cholesterol,mg/dL per PAH IQR,528,15,5.97113329707803,-2.70962569501205,14.6518922891681,1.46613554922223,0.163260347207789,direct PAH-lipid,0.326520694415577
PAH->lipid (boundary),2/3-OH-phenanthrene,Non-HDL-C,mg/dL per PAH IQR,528,15,4.82095793693327,-2.13268602457234,11.7746018984389,1.47773292114518,0.160167721665236,direct PAH-lipid,0.326520694415577
