outcome,exposure,n,beta,se,p_value,scale,percent_change,percent_low,percent_high,status,fdr,label,role.x,var,lod_var,abbrev,parent_pah,ring_count,role.y
ln_SSTES1,ln_URXP01,530,-0.08496405560937906,0.050522701573195675,0.11332279468141034,1.987436607424418,-15.537342673541755,-31.810592207016708,4.61948143478077,modeled,0.1359873536176924,Estrone sulfate,primary,URXP01,URDP01LC,1-OHNa,Naphthalene,2,context
ln_SSTES1,ln_URXP03,536,0.08415279096075316,0.04615587758174329,0.08825817145064933,2.1317481484756517,19.64903418351678,-2.987129759881746,47.56692947662358,modeled,0.1359873536176924,Estrone sulfate,primary,URXP03,URDP03LC,3-OHFlu,Fluorene,3,context
ln_SSTES1,ln_URXP04,537,0.0911190167604919,0.053957066687062016,0.11194455886349779,1.6925528191446073,16.675191679432366,-3.9624837013053527,41.74773440717683,modeled,0.1359873536176924,Estrone sulfate,primary,URXP04,URDP04LC,2-OHFlu,Fluorene,3,context
ln_SSTES1,ln_URXP06,538,0.09354329348605832,0.07187230939005054,0.2127158645618888,1.2203531171501254,12.09268074839358,-7.020647205745312,35.135045574738385,modeled,0.2127158645618888,Estrone sulfate,primary,URXP06,URDP06LC,1-OHPhe,Phenanthrene,3,core
ln_SSTES1,ln_URXP10,538,0.1654305502649302,0.049559165827915495,0.004494244674292247,1.3963446969733915,25.98568099135994,8.708324291223967,46.00898246150314,modeled,0.02696546804575348,Estrone sulfate,primary,URXP10,URDP10LC,1-OHPyr,Pyrene,4,core
ln_SSTES1,ln_URXP25,538,0.1458414975042153,0.050471669787841136,0.011229612465400041,1.2729656758128867,20.40022557507597,4.9914099797774725,38.07047949276337,modeled,0.03368883739620013,Estrone sulfate,primary,URXP25,URDP25LC,2/3-OHPhe,Phenanthrene,3,core
ln_SSTESO,ln_URXP01,529,-0.03936329850243515,0.015691697624574702,0.024095893599813276,1.97849959115426,-7.492482082963159,-13.415839346518045,-1.1638987248558608,modeled,0.07228768079943983,Estrone,active_estrogen_comparator,URXP01,URDP01LC,1-OHNa,Naphthalene,2,context
ln_SSTESO,ln_URXP03,535,-0.0134623370635763,0.01380619891894936,0.34497788675068686,2.1437291835423076,-2.8447143791111906,-8.784339482989513,3.4816770560599952,modeled,0.4348537085307782,Estrone,active_estrogen_comparator,URXP03,URDP03LC,3-OHFlu,Fluorene,3,context
ln_SSTESO,ln_URXP04,536,-0.01752976857577176,0.018659425185449323,0.36237809044231517,1.7006933487201978,-2.9372744014683927,-9.285420365430552,3.855110595977762,modeled,0.4348537085307782,Estrone,active_estrogen_comparator,URXP04,URDP04LC,2-OHFlu,Fluorene,3,context
ln_SSTESO,ln_URXP06,537,0.029351625794889685,0.020407343132297348,0.17088935664966265,1.2321436812926319,3.682734455361336,-1.7278393796851699,9.391198446070458,modeled,0.3417787132993253,Estrone,active_estrogen_comparator,URXP06,URDP06LC,1-OHPhe,Phenanthrene,3,core
ln_SSTESO,ln_URXP10,537,0.0303657163303095,0.011846995378935363,0.021626110376972492,1.3963446969733915,4.331277056660188,0.7167087448121112,8.075566685297119,modeled,0.07228768079943983,Estrone,active_estrogen_comparator,URXP10,URDP10LC,1-OHPyr,Pyrene,4,core
ln_SSTESO,ln_URXP25,537,-0.010797568787822814,0.01837260623890174,0.5654772787373662,1.2729656758128867,-1.3650904144087095,-6.16146850931697,3.6764454260850954,modeled,0.5654772787373662,Estrone,active_estrogen_comparator,URXP25,URDP25LC,2/3-OHPhe,Phenanthrene,3,core
ln_SSTEST,ln_URXP01,529,-0.0259524701640439,0.025881565391529544,0.33188908302714537,1.9704512579714306,-4.985253249549427,-14.771859173989233,5.925132386521148,modeled,0.7088586156615526,Estradiol,active_estrogen_comparator,URXP01,URDP01LC,1-OHNa,Naphthalene,2,context
ln_SSTEST,ln_URXP03,535,-0.010737490802980063,0.02821432745000804,0.7088586156615526,2.1214846999943036,-2.25219302912526,-13.96018477761951,11.048980555342446,modeled,0.7088586156615526,Estradiol,active_estrogen_comparator,URXP03,URDP03LC,3-OHFlu,Fluorene,3,context
ln_SSTEST,ln_URXP04,536,-0.018250532817723573,0.033385297903923895,0.5926494001379369,1.6930635445520572,-3.042680724196145,-14.047567453905474,9.371212456479938,modeled,0.7088586156615526,Estradiol,active_estrogen_comparator,URXP04,URDP04LC,2-OHFlu,Fluorene,3,context
ln_SSTEST,ln_URXP06,537,0.015248556783551522,0.025095740929233706,0.5525311664021084,1.2269217373114802,1.8884891640965407,-4.583592208594245,8.799570895994947,modeled,0.7088586156615526,Estradiol,active_estrogen_comparator,URXP06,URDP06LC,1-OHPhe,Phenanthrene,3,core
ln_SSTEST,ln_URXP10,537,-0.00959674421524542,0.024464292817825185,0.7003721116773429,1.3450514025858413,-1.2825161863309842,-7.969028645836628,5.889804998359893,modeled,0.7088586156615526,Estradiol,active_estrogen_comparator,URXP10,URDP10LC,1-OHPyr,Pyrene,4,core
ln_SSTEST,ln_URXP25,537,-0.026932210551365736,0.023237568557411492,0.26457712172689896,1.2729656758128867,-3.3702749727177794,-9.274651709731263,2.9183567196037874,modeled,0.7088586156615526,Estradiol,active_estrogen_comparator,URXP25,URDP25LC,2/3-OHPhe,Phenanthrene,3,core
